start_date,country_name,iso3c,duration,geo_scope,shutdown_extent
2022-06-10T00:00:00Z,India,IND,NA,local,full network
2022-06-10T00:00:00Z,India,IND,NA,local,full network
2022-06-10T00:00:00Z,India,IND,NA,local,full network
2022-06-10T00:00:00Z,India,IND,NA,local,full network
2022-06-11T00:00:00Z,India,IND,NA,local,full network
2022-06-11T00:00:00Z,Sudan,SDN,NA,regional,full network
2022-06-13T00:00:00Z,Algeria,DZA,NA,national,service-based
2022-06-13T00:00:00Z,India,IND,NA,local,full network
2022-06-14T00:00:00Z,India,IND,NA,local,full network
2022-06-16T00:00:00Z,India,IND,NA,local,full network
2022-06-16T00:00:00Z,India,IND,NA,local,full network
2022-06-16T00:00:00Z,India,IND,NA,local,full network
2022-06-17T00:00:00Z,India,IND,NA,local,full and service-based
2022-06-17T00:00:00Z,India,IND,NA,local,full network
2022-06-17T00:00:00Z,India,IND,NA,local,full network
2022-06-18T00:00:00Z,India,IND,NA,local,full network
2022-06-26T00:00:00Z,Uzbekistan,UZB,NA,local,full network
2022-06-27T00:00:00Z,Iraq,IRQ,NA,local,full network
2022-06-28T00:00:00Z,India,IND,NA,local,full network
2022-06-30T00:00:00Z,Jordan,JOR,NA,national,service-based
2022-06-30T00:00:00Z,Sudan,SDN,NA,national,full network
2022-07-01T00:00:00Z,Libya,LBY,NA,local,full network
2022-07-04T00:00:00Z,Libya,LBY,NA,local,full network
2022-07-15T00:00:00Z,Cuba,CUB,NA,national,full network
2022-07-19T00:00:00Z,India,IND,NA,local,full network
2022-07-23T00:00:00Z,Ukraine,UKR,NA,regional,service-based
2022-07-26T00:00:00Z,Ukraine,UKR,NA,local,full network
2022-08-05T00:00:00Z,India,IND,NA,local,full network
2022-08-06T00:00:00Z,India,IND,NA,local,full network
2022-08-07T00:00:00Z,Afghanistan,AFG,NA,regional,full network
2022-08-07T00:00:00Z,India,IND,NA,local,full network
2022-08-08T00:00:00Z,Libya,LBY,NA,local,full network
2022-08-10T00:00:00Z,Sierra Leone,SLE,NA,national,full network
2022-08-11T00:00:00Z,Sierra Leone,SLE,NA,national,full network
2022-08-11T00:00:00Z,NA,NA,NA,local,full network
2022-08-14T00:00:00Z,India,IND,NA,local,full network
2022-08-21T00:00:00Z,India,IND,NA,local,full network
2022-08-21T00:00:00Z,Libya,LBY,NA,local,full network
2022-09-09T00:00:00Z,India,IND,NA,local,full network
2022-09-11T00:00:00Z,Ukraine,UKR,NA,local,full network
2022-09-13T00:00:00Z,Armenia,ARM,NA,regional,service-based
2022-09-13T00:00:00Z,Azerbaijan,AZE,NA,national,service-based
2022-09-19T00:00:00Z,Iran,IRN,NA,local,full network
2022-09-21T00:00:00Z,Iran,IRN,NA,national,service-based
2022-09-21T00:00:00Z,Iran,IRN,NA,national,full network
2022-09-30T00:00:00Z,Cuba,CUB,NA,national,full network
2022-09-30T00:00:00Z,Iran,IRN,NA,local,full network
2022-10-03T00:00:00Z,India,IND,NA,local,full network
2022-10-08T00:00:00Z,Iran,IRN,NA,national,full network
2022-10-08T00:00:00Z,Iran,IRN,NA,local,full network
2022-10-09T00:00:00Z,Ukraine,UKR,NA,regional,full network
2022-10-10T00:00:00Z,India,IND,NA,local,full network
2022-10-11T00:00:00Z,India,IND,NA,local,full network
2022-10-12T00:00:00Z,Iran,IRN,NA,national,full network
2022-10-15T00:00:00Z,Iran,IRN,NA,national,full network
2022-10-16T00:00:00Z,Iran,IRN,NA,local,full network
2022-10-17T00:00:00Z,Afghanistan,AFG,NA,national,service-based
2022-10-18T00:00:00Z,Ukraine,UKR,NA,regional,full network
2022-10-19T00:00:00Z,Kazakhstan,KAZ,NA,national,full and service-based
2022-10-22T00:00:00Z,Bangladesh,BGD,NA,local,full network
2022-10-22T00:00:00Z,Ukraine,UKR,NA,local,full network
2022-10-25T00:00:00Z,Sudan,SDN,NA,national,full network
2022-10-26T00:00:00Z,Iran,IRN,NA,local,full network
2022-10-27T00:00:00Z,Iran,IRN,NA,local,full network
2022-10-28T00:00:00Z,Iran,IRN,NA,local,full network
2022-11-01T00:00:00Z,India,IND,NA,local,full network
2022-11-05T00:00:00Z,Bangladesh,BGD,NA,local,full and service-based
2022-11-12T00:00:00Z,Bangladesh,BGD,NA,local,full network
2022-11-13T00:00:00Z,India,IND,NA,local,full network
2022-11-13T00:00:00Z,Turkey,TUR,NA,local,service-based
2022-11-15T00:00:00Z,Ukraine,UKR,NA,national,full network
2022-11-21T00:00:00Z,Iran,IRN,NA,national,full network
2022-11-22T00:00:00Z,India,IND,NA,local,full network
2022-11-23T00:00:00Z,Ukraine,UKR,NA,national,full network
2022-11-24T00:00:00Z,India,IND,NA,local,full network
2022-11-26T00:00:00Z,Bangladesh,BGD,NA,local,full network
2022-12-03T00:00:00Z,India,IND,NA,local,full network
2022-12-08T00:00:00Z,Iran,IRN,NA,local,full network
2022-12-10T00:00:00Z,Bangladesh,BGD,NA,local,full network
2022-12-11T00:00:00Z,India,IND,NA,local,full network
2022-12-16T00:00:00Z,Jordan,JOR,NA,national,service-based
2022-12-16T00:00:00Z,Jordan,JOR,NA,local,full network
2022-12-16T00:00:00Z,Ukraine,UKR,NA,national,full network
2022-12-17T00:00:00Z,Iran,IRN,NA,local,full network
